#
# National Water Information System
# 2013/12/18
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	CASRN	SRSName	parm_unit
97269	Population/Community	C.KLAMATHENSIS          (5) SOV.-1958	 	 	#/ml
97270	Population/Community	C.FLUVIATILIS           (5) WALLACE-1960	 	 	#/ml
97271	Population/Community	C.RUGOSA                (5) SOV.-1958	 	 	#/ml
97272	Population/Community	C.DELALINEATA           (5) HOHN-1961	 	 	#/ml
97273	Population/Community	C.DELAPUNCTATA          (5) HOHN-1961	 	 	#/ml
97274	Population/Community	C.DIMINUTA              (5) PANT.	 	 	#/ml
97275	Population/Community	C.INUSITATUS            (5) HOHN-1961	 	 	#/ml
97276	Population/Community	C.PATRICKIAE            (5) REIM.-1962	 	 	#/ml
97277	Population/Community	C.SCUTELLUM             (5) EHR.-HUST.,  1930	 	 	#/ml
97278	Population/Community	RHOICOSPHENIA           (4) (GRUN.)P.&R.'66,28296779	 	 	#/ml
97279	Population/Community	R.CURVATA               (5) (KUTZ.)GRUN.EXRABH.-1864	 	 	#/ml
97280	Population/Community	R.CURVATA               (5) ((KUTZ.)GRUN.EX.RABH.)P.&R.'66,28296780	 	 	#/ml
97281	Population/Community	NAVICULALES             (2) P.&R.'66,295	 	 	#/ml
97282	Population/Community	NAVICULACEAE            (3) (NAVICULOID DIATOMS)P.&R.'66,29596781	 	 	#/ml
97283	Population/Community	AMPHIPLEURA             (4) (KUTZ.)P.&R.'66,30296782	 	 	#/ml
97284	Population/Community	A.LINDHEIMERI           (5) GRUN.-1862	 	 	#/ml
97285	Population/Community	A.PELLUCIDA             (5) KUTZ-1844	 	 	#/ml
97286	Population/Community	A.RUTILANS              (5) (TRENT.))CL.-1894	 	 	#/ml
97287	Population/Community	ANOMOEONEIS             (4) (PFITZ.)P.&R.'66,37396784	 	 	#/ml
97288	Population/Community	A.SPHAEROPHORA          (5) (EHR.)PFITZ.-1871	 	 	#/ml
97289	Population/Community	A.SPHAEROPHORA V.SCULPTA(5) O.MULL.-1900	 	 	#/ml
97290	Population/Community	A.SPHAEROPHORA V. GUEN. (5) O.MULL.	 	 	#/ml
97291	Population/Community	A.COSTATA               (5) (KUTZ.)HUST.-1959	 	 	#/ml
97292	Population/Community	A.FOLLIS                (5) (EHR.)CL.-1895	 	 	#/ml
97293	Population/Community	A.FOLLIS V.HANNAE       (5) REIM.-1961	 	 	#/ml
97294	Population/Community	A.FOLLIS V.FOSSILIS     (5) REIM.-1961	 	 	#/ml
97295	Population/Community	A.SERIANS               (5) (BREB.EX KUTZ.)CL.-1895	 	 	#/ml
97296	Population/Community	A.SERIANS V.ACUTA       (5) HUST.-1937	 	 	#/ml
97297	Population/Community	A.SERIANS V.APICULATA   (5) BOYER-1927	 	 	#/ml
97298	Population/Community	A.SERIANS V.BRACHYSIRA  (5) (BREB.EX DUTZ.)HUST.-1930	 	 	#/ml
97299	Population/Community	A.VITREA                (5) (GRUN.)ROSS-1961	 	 	#/ml
97300	Population/Community	A.ZELLENSIS             (5) (GRUN.)CL.-1895	 	 	#/ml
97301	Population/Community	A.STRIACA               (5) (GRUN.)HUST.-1930	 	 	#/ml
97302	Population/Community	A.POLYGRAMA V. PLATENSIS(5) FRENG.	 	 	#/ml
97303	Population/Community	BREBISSONIA             (4) (GRUN.)VINY.'79, 5596785	 	 	#/ml
97304	Population/Community	CALONEIS                (4) (CL.)P.&R.'66,57796786	 	 	#/ml
97305	Population/Community	C.AMPHISBAENA           (5) (BORY)CL.-1894	 	 	#/ml
97306	Population/Community	C.AMPHISBAENA V.SUBSALIN(5) (DONK.)CL.-1894	 	 	#/ml
97307	Population/Community	C.FENZLII               (5) (GRUN.)PATR.-1966	 	 	#/ml
97308	Population/Community	C.PERMAGNA              (5) (J.W.BAIL.)CL.-1894	 	 	#/ml
97309	Population/Community	C.OREGONICA             (5) (EHR.)PATR.-1966	 	 	#/ml
97310	Population/Community	C.OREGONICA V.QUADRILIN.(5) (GRUN.EX.CL.)PATR.-1966	 	 	#/ml
97311	Population/Community	C.LIBER                 (5) (W.SM.)CL.-1894	 	 	#/ml
97312	Population/Community	C.WARDII                (5) CL.-1894	 	 	#/ml
97313	Population/Community	C.VENTRICOSA            (5) (EHR.)MEIST-1912	 	 	#/ml
97314	Population/Community	C.VENTRICOSA V.ALPINA   (5) (CL.)PATR.-1966	 	 	#/ml
97315	Population/Community	C.VENTRICOSA V.MINUTA   (5) (GRUN.)PATR.-1966	 	 	#/ml
97316	Population/Community	C.VENTRICOSA V.SUBUNDUL.(5) (GRUN.)PATR.-1966	 	 	#/ml
97317	Population/Community	C.VENTRICOSA V.TRUNCAT. (5) (GRUN.)MEIST.-1912	 	 	#/ml
97318	Population/Community	C.HYALINA               (5) HUST.-1937	 	 	#/ml
97319	Population/Community	C.BACILLARIS            (5)	 	 	#/ml
97320	Population/Community	C.BACILLARIS V.THERMAL. (5) (GRUN.)A.CL.-1895	 	 	#/ml
97321	Population/Community	C.BACILLUM              (5) (GRUN.)CL.-1894	 	 	#/ml
97322	Population/Community	C.BACILLUM V.FONTINALIS (5) HUST.	 	 	#/ml
97323	Population/Community	C.ALPESTRIS             (5) (GRUN.)CL.-1894	 	 	#/ml
97324	Population/Community	C.LIMOSA                (5) (KUTZ.)PATR.-1966	 	 	#/ml
97325	Population/Community	C.LEWISII               (5) PATR.-1945	 	 	#/ml
97326	Population/Community	C.LEWISII V.INFLATA     (5) (SCHULTZE)PATR.-1966	 	 	#/ml
97327	Population/Community	C.HEBES                 (5) (RALFS)PATR.-1966	 	 	#/ml
97328	Population/Community	C.SPECIOSA              (5) HUST. EX.BOYER-1927	 	 	#/ml
97329	Population/Community	C.PSEUDOCLEVEI          (5) CHOLN.	 	 	#/ml
97330	Population/Community	C.PULCHRA               (5) MESSIK	 	 	#/ml
97331	Population/Community	C.SALEBRASTRIATA        (5) HOHN	 	 	#/ml
97332	Population/Community	DIPLONEIS               (4) (EHR.)P.&R.'66,40896787	 	 	#/ml
97333	Population/Community	D.FINNICA               (5) (EHR.)CL.-1891	 	 	#/ml
97334	Population/Community	D.SMITHII               (5) (BREB.EXW.SM.)CL.-1894	 	 	#/ml
97335	Population/Community	D.SMITHII V.DILATATA    (5) (M.PERAG.)BOYER-1927	 	 	#/ml
97336	Population/Community	D.SMITHII V.PUMILA      (5) (GRUN.)HUST.-1937	 	 	#/ml
97337	Population/Community	D.PSEUDOVALIS           (5) HUST.-1930	 	 	#/ml
97338	Population/Community	D.OCULATA               (5) (BREB.)CL.-1894	 	 	#/ml
97339	Population/Community	D.MARGINESTRIATA        (5) HUST.-1922	 	 	#/ml
97340	Population/Community	D.OBLONGELLA            (5) (NAEG.EXKUTZ.)ROSS-1947	 	 	#/ml
97341	Population/Community	D.PUELLA                (5) (SCHUM.)CL.-1894	 	 	#/ml
97342	Population/Community	D.ELLIPTICA             (5) (KUTZ.)CL.-1891	 	 	#/ml
97343	Population/Community	D.OSTRACODARUM          (5) (PANT.)JUR.-1954	 	 	#/ml
97344	Population/Community	D.INTERRUPTA            (5) (KUTZ.)CL.-1894	 	 	#/ml
97345	Population/Community	D.BOMBUS                (5) EHR.-1844	 	 	#/ml
97346	Population/Community	D.DIDYMA                (5) (EHR.)EHR.-1854	 	 	#/ml
97347	Population/Community	D.FUSCA                 (5)	 	 	#/ml
97348	Population/Community	D.FUSCA V.DELICATA      (5) (A.S.)CL.	 	 	#/ml
97349	Population/Community	D.GRUENDLERI            (5) (A.S.)CL.-BOYER,  1916	 	 	#/ml
97350	Population/Community	FRUSTULIA               (4) (RABH.)P.&R.'66,30496788	 	 	#/ml
97351	Population/Community	F.ASYMMETRICA           (5) (CL.)HUST.-1954	 	 	#/ml
97352	Population/Community	F.INTERPOSITA           (5) (LEWIS)CL.-1894	 	 	#/ml
97353	Population/Community	F.RHOMBOIDES            (5) (EHR.)DET.-1891	 	 	#/ml
97354	Population/Community	F.RHOMBOIDES V.AMPHIPLEU(5) (GRUN.)CL.-1894	 	 	#/ml
97355	Population/Community	F.RHOMBOIDES V.CAPITATA (5) (A.MAYER)PATR.-1966	 	 	#/ml
97356	Population/Community	F.RHOMBOIDES V.CRASSINER(5) (BREB.EXW.SM.)ROSS-1947	 	 	#/ml
97357	Population/Community	F.RHOMBOIDES V.SAXONICA (5) (RABH.)DET.-1891	 	 	#/ml
97358	Population/Community	F.RHOMBOIDES V.VIRIDULA (5) (BREB.)CL.-1894	 	 	#/ml
97359	Population/Community	F.RHOMBOIDES F.OCCIDENTA(5) SOV.-1963	 	 	#/ml
97360	Population/Community	F.VULGARIS              (5) (THWITES)DET.-1891	 	 	#/ml
97361	Population/Community	F.WEINHOIDII            (5) HUST.-1937	 	 	#/ml
97362	Population/Community	GYROSIGMA               (4) (HASS.)P.&R.'66,31296789	 	 	#/ml
97363	Population/Community	G.ACUMINATUM            (5) (KUTZ.)RABH.-1853	 	 	#/ml
97364	Population/Community	G.SPENCERII             (5) (QUEK.)GRIFF.&HENF^.-1856	 	 	#/ml
97365	Population/Community	G.SPENCERII V.CURVULA   (5) (GRUN.)REIM.-1966	 	 	#/ml
97366	Population/Community	G.OBTUSATUM             (5) (SULLIV.&WORMLEY)BOY-1922	 	 	#/ml
97367	Population/Community	G.EXIMIUM               (5) (THWAITES)BOYER-1927	 	 	#/ml
97368	Population/Community	G.SCALPROIDES           (5) (RABH.)CL.-1894	 	 	#/ml
97369	Population/Community	G.ATTENUATUM            (5) (KUTZ.)RABH.-1853	 	 	#/ml
97370	Population/Community	G.SCIOTENSE             (5) (SULLIV.&WORMLEY)CL.-1895	 	 	#/ml
97371	Population/Community	G.NODIFERUM             (5) (GRUN.)REIM.-1966	 	 	#/ml
97372	Population/Community	G.TEMPEREI              (5) CL.-1893	 	 	#/ml
97373	Population/Community	G.EXILIS                (5) (GRUN.)REIM-1966	 	 	#/ml
97374	Population/Community	G.OBSCURUM              (5) (W.SM.)GRIFF.&HENFR.-1856	 	 	#/ml
97375	Population/Community	G.DISTORTUM             (5) (W.SM.)GRIFF.&HENFR.-1856	 	 	#/ml
97376	Population/Community	G.BALTICUM              (5) (EHR.)RABH.-1853	 	 	#/ml
97377	Population/Community	G.BALTICUM V.CALIFORNICU(5) M(GRUN.)EXCL.-1894	 	 	#/ml
97378	Population/Community	G.TERRYANUM             (5) (PERAG.)CL.-1894	 	 	#/ml
97379	Population/Community	G.TERRYANUM V.FONTANUM  (5) REIM.-1966	 	 	#/ml
97380	Population/Community	G.STRIGILIS             (5) (W.SM.)CL.-1894	 	 	#/ml
97381	Population/Community	G.HUMMII                (5) HUST.-1955	 	 	#/ml
97382	Population/Community	G.WORMLEYI              (5) (SULLIV.)BOYER-1922	 	 	#/ml
97383	Population/Community	G.FASCIOLA              (5) (EHR.)GRIFF.&HENFR.-1856	 	 	#/ml
97384	Population/Community	G.MACRUM                (5) (W.SM.)GRIFF.&HENFR.-1856	 	 	#/ml
97385	Population/Community	MASTOGLOIA              (4) (THWAITES EX. W.SM.)P.&R.'66,29796790	 	 	#/ml
97386	Population/Community	M.GREVILLEI             (5) W.SM.-1856	 	 	#/ml
97387	Population/Community	M.SMITHII               (5) THWAITES EX W.SM.-1856	 	 	#/ml
97388	Population/Community	M.SMITHII V.AMPHICEPHALA(5) GRUN.-1880	 	 	#/ml
97389	Population/Community	M.SMITHII V.LACUSTRIS   (5) GRUN.-1878	 	 	#/ml
97390	Population/Community	M.ELLIPITCA             (5)	 	 	#/ml
97391	Population/Community	M.ELLIPITICA V.DANSEII  (5) (THWAITES)CL.-1895	 	 	#/ml
97392	Population/Community	M.PUMILA                (5) (GRUN.)CL-1895	 	 	#/ml
97393	Population/Community	M.BRAUNII               (5) GRUN.-1863	 	 	#/ml
97394	Population/Community	NAVICULA                (4) (BORY)P.&R.'66,43996791	 	 	#/ml
97395	Population/Community	N.AURICULATA            (5) HUST.-1944	 	 	#/ml
97396	Population/Community	N.TENERA                (5) HUST.-1937	 	 	#/ml
97397	Population/Community	N.CIRCUMTEXTA           (5) MEIST.EX.HUST.-1934	 	 	#/ml
97398	Population/Community	N.PYGMAEA               (5) KUTZ.-1849	 	 	#/ml
97399	Population/Community	N.LYRA                  (5) EHR.-1843	 	 	#/ml
97400	Population/Community	N.AMPHIBOLA             (5) CL.-1891	 	 	#/ml
97401	Population/Community	N.TEXANA                (5) PATR.-1959	 	 	#/ml
97402	Population/Community	N.ORGANGIANA            (5) PATR.-1959	 	 	#/ml
97403	Population/Community	N.SAVANNAHIANA          (5) PATR.-1959	 	 	#/ml
97404	Population/Community	N.INSIGNITA             (5) HUST.-1942	 	 	#/ml
97405	Population/Community	N.LACUSTRIS             (5) GREG.-1856	 	 	#/ml
97406	Population/Community	N.VARIOSTRIATA          (5) KRASSKE-1923	 	 	#/ml
97407	Population/Community	N.DISPUTANS             (5) PATR.-1959	 	 	#/ml
97408	Population/Community	N.GRIMMEI               (5) KRASSKE-1925	 	 	#/ml
97409	Population/Community	N.MACULATA              (5) (J.W.BAIL.)CL.-1895	 	 	#/ml
97410	Population/Community	N.MACULATA V.OBRICULATA (5) PATR.-1966	 	 	#/ml
97411	Population/Community	N.PUNCTULATA            (5) W.SM.-1853	 	 	#/ml
97412	Population/Community	N.SCUTIFORMIS           (5) GRUN.EX.A.S.-1881	 	 	#/ml
97413	Population/Community	N.SCUTELLOIDES          (5) W.SM.EX.GREG.-1856	 	 	#/ml
97414	Population/Community	N.PSEUDOSCUTIFORMIS     (5) HUST.-1930	 	 	#/ml
97415	Population/Community	N.COCCONEIFORMIS        (5) GREG.EX.GREV.-1855	 	 	#/ml
97416	Population/Community	N.SOVEREIGNAE           (5) HUST.-1955	 	 	#/ml
97417	Population/Community	N.PUSILLA               (5) W.SM.-1853	 	 	#/ml
97418	Population/Community	N.PUSILLA V.JAMALINENSIS(5) GRUN.-1880	 	 	#/ml
97419	Population/Community	N.LATISSIMA             (5) GREG.-1856	 	 	#/ml
97420	Population/Community	N.DELAWARENSIS          (5) GRUN.EX.CL.-1893	 	 	#/ml
97421	Population/Community	N.MUTICA                (5) KUTZ.-1844	 	 	#/ml
97422	Population/Community	N.MUTICA V.COHNII       (5) (HILSE)GRUN.-1880	 	 	#/ml
97423	Population/Community	N.MUYICA V.STIGUMA      (5) PATR.-1959	 	 	#/ml
97424	Population/Community	N.MUTICA V.TROPICA      (5) HUST.-1937	 	 	#/ml
97425	Population/Community	N.MUTICA V.UNDULATA     (5) (HILSE)GRUN.-1880	 	 	#/ml
97426	Population/Community	N.MUTICOIDES            (5) HUST.-1949	 	 	#/ml
97427	Population/Community	N.MOBILIENSIS           (5) BOYER-1922	 	 	#/ml
97428	Population/Community	N.MOBILIENSIS V.MINOR   (5) PATR.-1959	 	 	#/ml
97429	Population/Community	N.DEMERARA              (5) GRUN.EX.CL.-1893	 	 	#/ml
97430	Population/Community	N.EXPANSA               (5) HAGELST.-1939	 	 	#/ml
97431	Population/Community	N.SEMEN                 (5) EHR.EMEND.DONK-1873	 	 	#/ml
97432	Population/Community	N.MOURNEI               (5) PATR.-1959	 	 	#/ml
97433	Population/Community	N.CREUZBURGENSIS        (5)	 	 	#/ml
97434	Population/Community	N.CREUZBURGENSIS V.MULT.(5) PATR.-1959	 	 	#/ml
97435	Population/Community	N.PLACENTA              (5) EHR.-1854	 	 	#/ml
97436	Population/Community	N.SECRETA               (5)	 	 	#/ml
97437	Population/Community	N.SECRETA V.APICULATA   (5) PATR.-1959	 	 	#/ml
97438	Population/Community	N.CUSPIDATA             (5) (KUTZ.)KUTZ.-1844	 	 	#/ml
97439	Population/Community	N.CUSPIDATA V.MAJOR     (5) MEIST.-1912	 	 	#/ml
97440	Population/Community	N.CUSPIDATA V.OBTUSA    (5) PATR.-1966	 	 	#/ml
97441	Population/Community	N.QUATEMALENSIS         (5) CL.& GRUN.-1894	 	 	#/ml
97442	Population/Community	N.HALOPHILA             (5) (GRUN.)CL.-1894	 	 	#/ml
97443	Population/Community	N.HALOPHILA V.TENUIROST.(5) HUST.-1942	 	 	#/ml
97444	Population/Community	N.GREGARIA              (5) DONK.-1861	 	 	#/ml
97445	Population/Community	N.ACCOMODA              (5) HUST.-1950	 	 	#/ml
97446	Population/Community	N.BICONICA              (5) PATR.-1959	 	 	#/ml
97447	Population/Community	N.SPICULA               (5) (HICKIE)CL.-1894	 	 	#/ml
97448	Population/Community	N.BERGENENSIS           (5) HOHN-1952	 	 	#/ml
97449	Population/Community	N.CRUCICULA             (5) (W.SM.)DONK-1873	 	 	#/ml
97450	Population/Community	N.PROTRACTA             (5) GRUN.-1880	 	 	#/ml
97451	Population/Community	N.SABINIANA             (5) PATR.-1959	 	 	#/ml
97452	Population/Community	N.AIKENENSIS            (5) PATR.-1959	 	 	#/ml
97453	Population/Community	N.INTEGRA               (5) (W.SM.)-1861	 	 	#/ml
97454	Population/Community	N.SANCTAECRUCIS         (5) OSTR.-1913	 	 	#/ml
97455	Population/Community	N.MONMOUTHIANA-STODDERI (5) VERM.-1918	 	 	#/ml
97456	Population/Community	N.CONFERVACEA           (5) (KUTZ.)GRUN.-1880	 	 	#/ml
97457	Population/Community	N.CONFERVACEA V.PEREGRI.(5) (W.SM.)GRUN.-1880	 	 	#/ml
97458	Population/Community	N.KEELEYI               (5) PATR.-1945	 	 	#/ml
97459	Population/Community	N.CONVERGENS            (5) PATR.-1959	 	 	#/ml
97460	Population/Community	N.ELMOREI               (5) PATR.-1966	 	 	#/ml
97461	Population/Community	N.PERPUSILLA            (5) (KUTZ.)GRUN.-1860	 	 	#/ml
97462	Population/Community	N.POCONOENSIS           (5) PATR.-1945	 	 	#/ml
97463	Population/Community	N.GIBBOSA               (5) HUST.-1937	 	 	#/ml
97464	Population/Community	N.HASSIACA              (5) KRASSKE-1925	 	 	#/ml
97465	Population/Community	N.DUOMEDIA              (5) PATR.-1959	 	 	#/ml
97466	Population/Community	N.CONTENTA              (5)	 	 	#/ml
97467	Population/Community	N.CONTENTA V.BICEPS     (5) (ARN.)V.H.-1885	 	 	#/ml
97468	Population/Community	N.PENNSYLVANICA         (5) PATR.-1945	 	 	#/ml
97469	Population/Community	N.ARVENSIS              (5) HUST.-1937	 	 	#/ml
97470	Population/Community	N.GYSINGENSIS           (5) FOGED-1952	 	 	#/ml
97471	Population/Community	N.SUBTILISSIMA          (5) CL.-1891	 	 	#/ml
97472	Population/Community	N.PELLICULOSA           (5) (BREB.EX.KUTZ.)HILSE-1863	 	 	#/ml
97473	Population/Community	N.PAUCIVISITATA         (5) PATR.-1959	 	 	#/ml
97474	Population/Community	N.FESTIVA               (5) KRASSKE-1925	 	 	#/ml
97475	Population/Community	N.LATELONGITUDINALIS    (5) PATR.-1959	 	 	#/ml
97476	Population/Community	N.JAERNEFELTII          (5) HUST.-1936	 	 	#/ml
97477	Population/Community	N.SIMULA                (5) PATR.-1959	 	 	#/ml
97478	Population/Community	N.VENTRALIS             (5)	 	 	#/ml
97479	Population/Community	N.VENTRALIS V.CHILENSIS (5) KRASSKE-1939	 	 	#/ml
97480	Population/Community	N.LATEROPUNCTATA        (5) WALLACE-1960	 	 	#/ml
97481	Population/Community	N.MINUSCULA             (5) GRUN.-1880	 	 	#/ml
97482	Population/Community	N.MURALIS               (5) GRUN.-1880	 	 	#/ml
97483	Population/Community	N.ATOMUS                (5) (KUTZ.)-1860	 	 	#/ml
97484	Population/Community	N.MINIMA                (5) GRUN.-1880	 	 	#/ml
97485	Population/Community	N.SEMINULUM             (5) GRUN.-1860	 	 	#/ml
97486	Population/Community	N.SEMINULUM V.HUSTEDII  (5) PATR.-1959	 	 	#/ml
97487	Population/Community	N.SECURA                (5) PATR.-1959	 	 	#/ml
97488	Population/Community	N.VANHEURCKII           (5) PATR.-1966	 	 	#/ml
97489	Population/Community	N.ORBICULATA            (5) PATR.-1959	 	 	#/ml
97490	Population/Community	N.LUZONENSIS            (5) HUST.-1942	 	 	#/ml
97491	Population/Community	N.WARDII                (5) PATR.-1959	 	 	#/ml
97492	Population/Community	N.AMERICANA             (5) EHR.-1843	 	 	#/ml
97493	Population/Community	N.AMERICANA V.MOESTA    (5) TEMP.&PERAG.-1908	 	 	#/ml
97494	Population/Community	N.BACILLUM              (5) EHR.-1843	 	 	#/ml
97495	Population/Community	N.SUBHAMULATA           (5) GRUN.-1880	 	 	#/ml
97496	Population/Community	N.PUPULA                (5) KUTZ.-1844	 	 	#/ml
97497	Population/Community	N.PUPULA V.CAPITATA     (5) SKV.&MEYER-1928	 	 	#/ml
97498	Population/Community	N.PUPULA V.ELLIPTICA    (5) HUST.-1911	 	 	#/ml
97499	Population/Community	N.PUPULA V.MUTATA       (5) (KRASSKE)HUST.-1930	 	 	#/ml
97500	Population/Community	N.PUPULA V.RECTANGULARIS(5) (GREG.)GRUN.-1880	 	 	#/ml
97501	Population/Community	N.LAEVISSIMA            (5) KUTZ.-1844	 	 	#/ml
97502	Population/Community	N.PSEUDOFRICKIA         (5) PATR.-1959	 	 	#/ml
97503	Population/Community	N.SALINARUM             (5) GRUN.-1880	 	 	#/ml
97504	Population/Community	N.SALINARUM V.INTERMEDIA(5) (GRUN.)CL.-1895	 	 	#/ml
97505	Population/Community	N.CRYPTOCEPHALA         (5) KUTZ.-1844	 	 	#/ml
97506	Population/Community	N.CRYPTOCEPHALA V.EXILIS(5) (KUTZ.)GRUN.-1880	 	 	#/ml
97507	Population/Community	N.CRYPTOCEPHALA V.VENETA(5) (KUTZ.)RABH.-1864	 	 	#/ml
97508	Population/Community	N.RHYNCHOCEPHALA        (5) KUTZ.-1844	 	 	#/ml
97509	Population/Community	N.RHYNCHOCEPHALA V.AMPHI(5) (KUTZ.)GRUN.-1880	 	 	#/ml
97510	Population/Community	N.RHYNCHOCEPHALA V.GERM.(5) NWALLACE)PATR.-1960	 	 	#/ml
97511	Population/Community	N.VIRIDULA              (5) (KUTZ.)KUTZ.EMEND.VH-1880	 	 	#/ml
97512	Population/Community	N.VIRIDULA V.AVENACEA   (5) (BREB.EX.GRUN.)V.H.-1885	 	 	#/ml
97513	Population/Community	N.VIRIDULA V.LINEARIS   (5) HUST.-1937	 	 	#/ml
97514	Population/Community	N.VIRIDULA V.ROSTELLATA (5) (KUTZ.)CL.-1895	 	 	#/ml
97515	Population/Community	N.GLOBULIFERA           (5) HUST.-1927	 	 	#/ml
97516	Population/Community	N.GOTTLANDICA           (5) GRUN.-1880	 	 	#/ml
97517	Population/Community	N.RADIOSA               (5) KUTZ.-1844	 	 	#/ml
97518	Population/Community	N.RADIOSA V.PARVA       (5) WALLACE-1960	 	 	#/ml
97519	Population/Community	N.RADIOSA V.TENELLA     (5) (BREB.EX.KUTZ.)GRUN.-1885	 	 	#/ml
97520	Population/Community	N.ODIOSA                (5) WALLACE-1960	 	 	#/ml
97521	Population/Community	N.LANCEOLATA            (5) (AG.)KUTZ.-1844	 	 	#/ml
97522	Population/Community	N.ARENARIA              (5) DONK.-1861	 	 	#/ml
97523	Population/Community	N.SCHROETERI            (5)	 	 	#/ml
97524	Population/Community	N.SCHROETERI V.ESCAMBIA (5) PATR.-1959	 	 	#/ml
97525	Population/Community	N.SYMMETRICA            (5) PATR.-1944	 	 	#/ml
97526	Population/Community	NEIDIUM                 (4) (PFITZ.)P.&R.'66,38396792	 	 	#/ml
97527	Population/Community	N.IRIDIS                (5) (EHR.)CL.-1894	 	 	#/ml
97528	Population/Community	N.IRIDIS V.AMPHIGOMPHUS (5) (EHR.)A.MAYER-1917	 	 	#/ml
97529	Population/Community	N.IRIDIS V.AMPLIATUM    (5) (EHR.)CL.-1894	 	 	#/ml
97530	Population/Community	N.IRIDIS V.SUBUNDULATUM (5) (CL-EUL.REIM.-1959	 	 	#/ml
97531	Population/Community	N.IRIDIS V.VERNALIS     (5) REICH.	 	 	#/ml
97532	Population/Community	N.IRIDIS V.CONSPICUA    (5) A.MAYER	 	 	#/ml
97533	Population/Community	N.TUMESCENS             (5) (GRUN.)CL.-1894	 	 	#/ml
97534	Population/Community	N.PRODUCTUM             (5) (W.SM.)CL.-1894	 	 	#/ml
97535	Population/Community	N.AFFINE                (5) (EHR.)PFITZ.-1871	 	 	#/ml
97536	Population/Community	N.AFFINE V.AMPHIRHYNCHUS(5) (EHR.)CL.-1917	 	 	#/ml
97537	Population/Community	N.AFFINE V.CEYLONICUM   (5) (SKV.)REIM.-1959	 	 	#/ml
97538	Population/Community	N.AFFINE V.HANKENSE     (5) (SKV.)REIM.-1959	 	 	#/ml
97539	Population/Community	N.AFFINE V.HUMERUS      (5) REIM.-1959	 	 	#/ml
97540	Population/Community	N.AFFINE V.LONGICEPS    (5) (GREG.)CL.-1894	 	 	#/ml
97541	Population/Community	N.AFFINE V.UNDULATUM    (5) (GRUN.)CL.-1894	 	 	#/ml
97542	Population/Community	N.AFFINE V.TENUIROSTRIS (5) A.MAYER	 	 	#/ml
97543	Population/Community	N.GRACILE               (5)	 	 	#/ml
97544	Population/Community	N.GRACILE F.AEQUALE     (5) HUST.-1938	 	 	#/ml
97545	Population/Community	N.HITCHCOCKII           (5) (EHR.)CL.-1894	 	 	#/ml
97546	Population/Community	N.HITCHCOCKII F.TERES   (5) SOV.	 	 	#/ml
97547	Population/Community	N.APICULATUM            (5) REIM.-1959	 	 	#/ml
97548	Population/Community	N.APICULATUM V.CONSTRIC.(5) REIM.-1959	 	 	#/ml
97549	Population/Community	N.BISULCATUM            (5) (LAGERST.)CL.-1894	 	 	#/ml
97550	Population/Community	N.BISULCATUM V.BAICALEN.(5) (SKV.&MEYER)REIM-1959	 	 	#/ml
97551	Population/Community	N.BISULCATUM V.NIPPONI. (5) SKV.-1936	 	 	#/ml
97552	Population/Community	N.BISULCATUM V.SUBUNDUL.(5) (GRUN.)REIM.-1959	 	 	#/ml
97553	Population/Community	N.HERCYNICUM            (5) A.MAYER-1917	 	 	#/ml
97554	Population/Community	N.HERCYNICUM F.SUBROSTR.(5) WALLACE-1959	 	 	#/ml
97555	Population/Community	N.HERRMANNII            (5) HUST.-1938	 	 	#/ml
97556	Population/Community	N.ALPINUM               (5) HUST.-1943	 	 	#/ml
97557	Population/Community	N.MAXIMUM               (5) (CL.)MEIST.-1912	 	 	#/ml
97558	Population/Community	N.BOYERI                (5) REIM.-1959	 	 	#/ml
97559	Population/Community	N.SACOENSE              (5) REIM.-1959	 	 	#/ml
97560	Population/Community	N.KOZLOWII              (5) MERESCHK.	 	 	#/ml
97561	Population/Community	N.KOZLOWII V.PARVUM     (5) MERESCHK.-1906	 	 	#/ml
97562	Population/Community	N.KOZLOWII V.BAICALENSIS(5) STOERMER-1963	 	 	#/ml
97563	Population/Community	N.KOZLOWII V.UNDULATA   (5) STOERMER-1963	 	 	#/ml
97564	Population/Community	N.BINODE                (5) (EHR.)HUST.-1945	 	 	#/ml
97565	Population/Community	N.DUBIUM                (5) (EHR.)CL.-1894	 	 	#/ml
97566	Population/Community	N.DUBIUM F.CONSTRICTUM  (5) HUST.-1930	 	 	#/ml
97567	Population/Community	N.LADOGENSE             (5)	 	 	#/ml
97568	Population/Community	N.LADOGENSE V.DENSESTRI.(5) (OSTR.)FOGED-1952	 	 	#/ml
97569	Population/Community	N.TEMPEREI              (5) REIM.-1959	 	 	#/ml
97570	Population/Community	N.RUDIMENTARUM          (5) REIM.-1959	 	 	#/ml
97571	Population/Community	N.DECENS                (5) (PANT.)STOERMER-1963	 	 	#/ml
97572	Population/Community	N.DISTINCTE-PUNCTATUM   (5) HUST.	 	 	#/ml
97573	Population/Community	N.HANKENSIS             (5) SKV.	 	 	#/ml
97574	Population/Community	N.HANKENSIS V.ELONGATA  (5) SKV.	 	 	#/ml
97575	Population/Community	N.INCONSTANS            (5) SOV.	 	 	#/ml
97576	Population/Community	N.KNUTHII               (5)	 	 	#/ml
