#
# National Water Information System
# 2013/12/17
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	parm_nm	fxd_va	fxd_tx
00028	Analyzing agency	83401.0	Teledyne Isotopes, Inc. New Jersey
00028	Analyzing agency	83405.0	Sussex County Health Department, New Jersey
00028	Analyzing agency	83410.0	Rutgers University, Geology Dept, Stable Isotope Lab, NJ
00028	Analyzing agency	83413.0	USGS New Jersey Water Science Center Laboratory
00028	Analyzing agency	83441.0	NJ Dpt Hlth&Senior Svcs-Div Pub Hlth&Env Labs-Env&Chem Lab
00028	Analyzing agency	83481.0	EMSL Analytical Services, Westmont, NJ
00028	Analyzing agency	83513.0	District Water-Quality Lab, Albuquerque, New Mexico
00028	Analyzing agency	83514.0	USGS District Sediment Laboratory, Albuquerque, New Mexico
00028	Analyzing agency	83523.0	New Mexico Institute of Mining and Technology - Socorro
00028	Analyzing agency	83541.0	University of New Mexico
00028	Analyzing agency	83542.0	USBIA Soil, Water, & Material Testing Lab., New Mexico
00028	Analyzing agency	83611.0	Monroe County Health Department, New York
00028	Analyzing agency	83613.0	New York WSC Low Ionic Strength Lab, Troy (formerly Albany)
00028	Analyzing agency	83620.0	Upstate Freshwater Institute, New York
00028	Analyzing agency	83621.0	O'Brien and Gere, New York
00028	Analyzing agency	83622.0	Darrin Fresh Water Institute, Bolton Landing, New York
00028	Analyzing agency	83630.0	Syracuse University, Dept. of Civil Engineering
00028	Analyzing agency	83631.0	Metropolitan Laboratory, New York
00028	Analyzing agency	83640.0	City of Ithaca Waste Water Treatment Plant, Ithaca, NY
00028	Analyzing agency	83641.0	City of Ithaca Water Filtration Plant, Ithaca, NY
00028	Analyzing agency	83650.0	Erie County Laboratory, New York
00028	Analyzing agency	83652.0	Lamont-Doherty Earth Observatory, Palisades, New York
00028	Analyzing agency	83655.0	Severn-Trent Laboratory - Newburgh, New York
00028	Analyzing agency	83656.0	Severn-Trent Laboratory - Buffalo: Amherst, NY
00028	Analyzing agency	83660.0	State University of New York at Cortland, New York
00028	Analyzing agency	83671.0	Columbia University, New York
00028	Analyzing agency	83713.0	District Water-Quality Lab, Raleigh, North Carolina
00028	Analyzing agency	83741.0	North Carolina Dept. of Natural and Economic Resources
00028	Analyzing agency	83742.0	North Carolina DENR - Shellfish & Sanitation Rec WQ Sxn Lab
00028	Analyzing agency	83751.0	Mecklenburg Co. Dept. of Environmental Health Lab, NC
00028	Analyzing agency	83841.0	North Dakota State Laboratory
00028	Analyzing agency	83901.0	National Testing Laboratory, Water Check Division, Ohio
00028	Analyzing agency	83905.0	Ohio Environmental Protection Agency, Columbus, Ohio
00028	Analyzing agency	83913.0	District Water-Quality Lab, Columbus, Ohio
00028	Analyzing agency	83914.0	District Microbiological Laboratory, Columbus, Ohio
00028	Analyzing agency	83915.0	City of Columbus, Water Quality Assurance Laboratory, Ohio
00028	Analyzing agency	83920.0	Severn-Trent Laboratory - North Canton: North Canton, OH
00028	Analyzing agency	84001.0	Oklahoma Water Resources Board
00028	Analyzing agency	84003.0	Oklahoma State University
00028	Analyzing agency	84005.0	Oklahoma State Health Department Radiochemistry Laboratory
00028	Analyzing agency	84007.0	Oklahoma State Department of Agriculture
00028	Analyzing agency	84009.0	Association of Central Oklahoma Governments
00028	Analyzing agency	84011.0	Oklahoma Corporation Commission
00028	Analyzing agency	84013.0	District Water-Quality Lab, Oklahoma City, Oklahoma
00028	Analyzing agency	84015.0	Oklahoma Conservation Commission, Oklahoma City, OK
00028	Analyzing agency	84017.0	Oklahoma Department of Environmental Quality (ODEQ)
00028	Analyzing agency	84041.0	Oklahoma Geological Survey
00028	Analyzing agency	84042.0	Oklahoma State Health Department
00028	Analyzing agency	84101.0	Oregon Graduate Institute, Beaverton, Oregon
00028	Analyzing agency	84113.0	District Water-Quality Lab, Portland, Oregon
00028	Analyzing agency	84210.0	Pennsylvania Department of Agriculture Laboratory
00028	Analyzing agency	84213.0	District Water-Quality Lab, Harrisburg, Pennsylvania
00028	Analyzing agency	84215.0	Chester County Health Department Lab, PA.
00028	Analyzing agency	84217.0	Allegheny County Health Dept Laboratory, Pittsburgh, PA
00028	Analyzing agency	84218.0	Erie County Health Department, Erie, Pennsylvania
00028	Analyzing agency	84220.0	Severn-Trent Laboratory - Pittsburgh: Pittsburgh, PA
00028	Analyzing agency	84240.0	City of Philadelphia, PA and USGS
00028	Analyzing agency	84250.0	Lancaster Laboratories, Lancaster, Pennsylvania
00028	Analyzing agency	84540.0	South Carolina Water Resources Commission
00028	Analyzing agency	84541.0	Savannah River Lab, South Carolina
00028	Analyzing agency	84610.0	URE Project Laboratory, Oak Ridge, TN
00028	Analyzing agency	84642.0	Michigan State University Microbiology Lab, East Lansing MI
00028	Analyzing agency	84699.0	Public Entity
00028	Analyzing agency	84710.0	Severn-Trent Laboratory - Knoxville: Knoxville, TN
00028	Analyzing agency	84813.0	District Water-Quality Lab, Austin, Texas
00028	Analyzing agency	84820.0	Severn-Trent Laboratory - Austin: Austin, TX
00028	Analyzing agency	84821.0	Severn-Trent Laboratory - Corpus Christi: Corpus Christi TX
00028	Analyzing agency	84823.0	International Boundary Water Commision
00028	Analyzing agency	84833.0	Guadalupe-Blanco River Authority
00028	Analyzing agency	84913.0	District Water-Quality Lab, Salt Lake City, Utah
00028	Analyzing agency	85020.0	Severn-Trent Laboratory - Burlington: Colchester, VT
00028	Analyzing agency	85113.0	Headquarters Tritium Lab, Reston, Virginia
00028	Analyzing agency	85114.0	District Water-Quality Lab, Charlottesville, Virginia
00028	Analyzing agency	85115.0	Univ. of Virginia Dept. of Environmental Sciences Lab
00028	Analyzing agency	85116.0	Virginia Division of Consolidated Laboratory Services
00028	Analyzing agency	85301.0	Severn-Trent Laboratory - Richland: Richland, WA
00028	Analyzing agency	85313.0	District Water-Quality Lab, Tacoma, Washington
00028	Analyzing agency	85315.0	Cascades Volcano Obs Sediment Analysis Lab, Vancouver, WA
00028	Analyzing agency	85341.0	AM Test Inc., Washington
00028	Analyzing agency	85342.0	Municipality of Metropolitan Seattle, Washington
00028	Analyzing agency	85343.0	Washington State Dept. of Ecology
00028	Analyzing agency	85344.0	Washington State Dept. of Social and Health Services
00028	Analyzing agency	85345.0	Analytical Resources Incorporated (Seattle, Washington)
00028	Analyzing agency	85346.0	Ecology and Environment Inc (Seattle, Washington)
00028	Analyzing agency	85347.0	International Technology Corporation, Richland, WA
00028	Analyzing agency	85348.0	Edge Analytical (MTC), Inc.  Burlington, WA
00028	Analyzing agency	85349.0	Sound Analytical Services, Inc. Fife, WA
00028	Analyzing agency	85350.0	Inland Environmental Laboratory, Inc. Spokane, WA
00028	Analyzing agency	85351.0	Frontier Geosciences, Seattle, WA
00028	Analyzing agency	85411.0	District Water-Quality Lab, Charleston, WV
00028	Analyzing agency	85540.0	Robert E. Lee and Assoc. Green Bay, WISC.
00028	Analyzing agency	85541.0	Mayo Clinic, University of Wisconsin
00028	Analyzing agency	85542.0	University of Wisconsin Extension
00028	Analyzing agency	85543.0	State Laboratory of Hygiene, Wisconsin
00028	Analyzing agency	85544.0	Hazelton Laboratories America (Madison, Wisconsin)
00028	Analyzing agency	85547.0	Milwaukee Metropolitan Sewerage District, Milwaukee, WI
00028	Analyzing agency	85548.0	Madison Department of Public Health, Madison, WI
00028	Analyzing agency	85550.0	USGS-Wisconsin District Mercury Lab, Madison, WI
00028	Analyzing agency	85551.0	University of Wisconsin at Lacrosse, River Studies Center
00028	Analyzing agency	85613.0	District Water-Quality Lab, Cheyenne, Wyoming
00028	Analyzing agency	85614.0	Louisville & Jefferson County Metro Sewer District Lab
00028	Analyzing agency	85641.0	Wyoming Department of Agriculture
00028	Analyzing agency	87213.0	District Water-Quality Lab, San Juan, Puerto Rico
00028	Analyzing agency	89201.0	Environment Canada, Qater Quality Br., Burlington, Ontario
00028	Analyzing agency	89202.0	XRAL Laboratory Services, Don Mills, Ontario, Canada
00028	Analyzing agency	89203.0	Activation Labs, Ltd, Ancaster, Ontario, Canada
00028	Analyzing agency	89213.0	Chalk River Nuclear Laboratories, Chalk River, Canada
00028	Analyzing agency	89301.0	Manitoba Environment, Water Standards Sec., Winnipeg, Man.
00028	Analyzing agency	89401.0	Saskatchewan Environment, Water Quality Br., Regina, Sask.
00028	Analyzing agency	92001.0	Univ. of Waterloo, Isotope Lab,Waterloo, Ontario, Canada
00028	Analyzing agency	99001.0	Private contractor
00028	Analyzing agency	99999.0	Other
00041	Weather, WMO code	0.0	Cloudless
00041	Weather, WMO code	1.0	Partly cloudy
00041	Weather, WMO code	2.0	Cloudy
00041	Weather, WMO code	3.0	Overcast
00041	Weather, WMO code	10.0	Precipitation within sight
00041	Weather, WMO code	13.0	Ugly, threatening sky
00041	Weather, WMO code	40.0	Fog
00041	Weather, WMO code	50.0	Drizzle
00041	Weather, WMO code	51.0	Slight drizzle, intermittent
00041	Weather, WMO code	52.0	Slight drizzle, continuous
00041	Weather, WMO code	53.0	Moderate drizzle, intermittent
00041	Weather, WMO code	54.0	Moderate drizzle, continuous
00041	Weather, WMO code	55.0	Thick drizzle, intermittent
00041	Weather, WMO code	56.0	Thick drizzle, continuous
00041	Weather, WMO code	57.0	Drizzle and fog
00041	Weather, WMO code	58.0	Slight or moderate drizzle and rain
00041	Weather, WMO code	59.0	Thick drizzle and rain
00041	Weather, WMO code	60.0	Rain
00041	Weather, WMO code	61.0	Slight rain, intermittent
00041	Weather, WMO code	62.0	Slight rain, continuous
00041	Weather, WMO code	63.0	Moderate rain, intermittent
00041	Weather, WMO code	64.0	Moderate rain, continuous
00041	Weather, WMO code	65.0	Heavy rain, intermittent
00041	Weather, WMO code	66.0	Heavy rain, continuous
00041	Weather, WMO code	67.0	Rain and fog
00041	Weather, WMO code	68.0	Slight or moderate mixed rain and snow
00041	Weather, WMO code	69.0	Heavy mixed rain and snow
00041	Weather, WMO code	70.0	Snow or sleet
00041	Weather, WMO code	71.0	Slight snow in flakes, intermittent
00041	Weather, WMO code	72.0	Slight snow in flakes, continuous
00041	Weather, WMO code	73.0	Moderate snow in flakes, intermittent
00041	Weather, WMO code	74.0	Moderate snow in flakes, continuous
00041	Weather, WMO code	75.0	Heavy snow in flakes, intermittent
00041	Weather, WMO code	76.0	Heavy snow in flakes, continuous
00041	Weather, WMO code	77.0	Snow and fog
00041	Weather, WMO code	78.0	Granular snow (frozen drizzle)
00041	Weather, WMO code	79.0	Ice crystals
00041	Weather, WMO code	80.0	Shower(s)
00041	Weather, WMO code	81.0	Slight or moderate rain shower(s)
00041	Weather, WMO code	82.0	Heavy rain shower(s)
00041	Weather, WMO code	83.0	Slight or moderate snow shower(s)
00041	Weather, WMO code	84.0	Heavy snow shower(s)
00041	Weather, WMO code	85.0	Slight or moderate rain and snow shower(s)
00041	Weather, WMO code	86.0	Heavy rain and snow shower(s)
00041	Weather, WMO code	87.0	Granular snow shower(s)
00041	Weather, WMO code	88.0	Slight or moderate hail or rain and hail shower(s)
00041	Weather, WMO code	89.0	Heavy hail or rain and hail shower(s)
00041	Weather, WMO code	90.0	Thunderstorm
00041	Weather, WMO code	93.0	Slight thunderstorm with rain or snow
00041	Weather, WMO code	94.0	Slight thunderstorm with hail
00041	Weather, WMO code	95.0	Moderate thunderstorm with rain or snow
00041	Weather, WMO code	96.0	Moderate thunderstorm with hail
00041	Weather, WMO code	97.0	Heavy thunderstorm with rain or snow
00041	Weather, WMO code	99.0	Heavy thunderstorm with hail
00067	Tide stage	1000.0	High water slack; wi 3 hrs
00067	Tide stage	1001.0	High water slack; wi 3 hrs; Max ebb current
00067	Tide stage	1002.0	High water slack; wi 3 hrs; Max flood current
00067	Tide stage	1010.0	High water slack; wi 3 hrs; C&GS table
00067	Tide stage	1011.0	High water slack; wi 3 hrs; C&GS table; Max ebb current
00067	Tide stage	1012.0	High water slack; wi 3 hrs; C&GS table; Max flood current
00067	Tide stage	1020.0	High water slack; wi 3 hrs; measured
00067	Tide stage	1021.0	High water slack; wi 3 hrs; measured; Max ebb current
00067	Tide stage	1022.0	High water slack; wi 3 hrs; measured; Max flood current
00067	Tide stage	1100.0	High water slack; wi 2 hrs
00067	Tide stage	1101.0	High water slack; wi 2 hrs; Max ebb current
00067	Tide stage	1102.0	High water slack; wi 2 hrs; Max flood current
00067	Tide stage	1110.0	High water slack; wi 2 hrs; C&GS table
00067	Tide stage	1111.0	High water slack; wi 2 hrs; C&GS table; Max ebb current
00067	Tide stage	1112.0	High water slack; wi 2 hrs; C&GS table; Max flood current
00067	Tide stage	1120.0	High water slack; wi 2 hrs; measured
00067	Tide stage	1121.0	High water slack; wi 2 hrs; measured; Max ebb current
00067	Tide stage	1122.0	High water slack; wi 2 hrs; measured; Max flood current
00067	Tide stage	1200.0	High water slack; wi 1 hr
00067	Tide stage	1201.0	High water slack; wi 1 hr; Max ebb current
00067	Tide stage	1202.0	High water slack; wi 1 hr; Max flood current
00067	Tide stage	1210.0	High water slack; wi 1 hr; C&GS table
00067	Tide stage	1211.0	High water slack; wi 1 hr; C&GS table; Max ebb current
00067	Tide stage	1212.0	High water slack; wi 1 hr; C&GS table; Max flood current
00067	Tide stage	1220.0	High water slack; wi 1 hr; measured
00067	Tide stage	1221.0	High water slack; wi 1 hr; measured; Max ebb current
00067	Tide stage	1222.0	High water slack; wi 1 hr; measured; Max flood current
00067	Tide stage	1300.0	High water slack; wi 40 min
00067	Tide stage	1301.0	High water slack; wi 40 min; Max ebb current
00067	Tide stage	1302.0	High water slack; wi 40 min; Max flood current
00067	Tide stage	1310.0	High water slack; wi 40 min; C&GS table
00067	Tide stage	1311.0	High water slack; wi 40 min; C&GS table; Max ebb current
00067	Tide stage	1312.0	High water slack; wi 40 min; C&GS table; Max flood current
00067	Tide stage	1320.0	High water slack; wi 40 min; measured
00067	Tide stage	1321.0	High water slack; wi 40 min; measured; Max ebb current
00067	Tide stage	1322.0	High water slack; wi 40 min; measured; Max flood current
00067	Tide stage	1400.0	High water slack; wi 20 min
00067	Tide stage	1401.0	High water slack; wi 20 min; Max ebb current
00067	Tide stage	1402.0	High water slack; wi 20 min; Max flood current
00067	Tide stage	1410.0	High water slack; wi 20 min; C&GS table
00067	Tide stage	1411.0	High water slack; wi 20 min; C&GS table; Max ebb current
00067	Tide stage	1412.0	High water slack; wi 20 min; C&GS table; Max flood current
00067	Tide stage	1420.0	High water slack; wi 20 min; measured
00067	Tide stage	1421.0	High water slack; wi 20 min; measured; Max ebb current
00067	Tide stage	1422.0	High water slack; wi 20 min; measured; Max flood current
00067	Tide stage	1500.0	High water slack; wi 10 min
00067	Tide stage	1501.0	High water slack; wi 10 min; Max ebb current
00067	Tide stage	1502.0	High water slack; wi 10 min; Max flood current
00067	Tide stage	1510.0	High water slack; wi 10 min; C&GS table
00067	Tide stage	1511.0	High water slack; wi 10 min; C&GS table; Max ebb current
00067	Tide stage	1512.0	High water slack; wi 10 min; C&GS table; Max flood current
00067	Tide stage	1520.0	High water slack; wi 10 min; measured
00067	Tide stage	1521.0	High water slack; wi 10 min; measured; Max ebb current
00067	Tide stage	1522.0	High water slack; wi 10 min; measured; Max flood current
00067	Tide stage	1600.0	High water slack; wi 5 min
00067	Tide stage	1601.0	High water slack; wi 5 min; Max ebb current
00067	Tide stage	1602.0	High water slack; wi 5 min; Max flood current
00067	Tide stage	1610.0	High water slack; wi 5 min; C&GS table
00067	Tide stage	1611.0	High water slack; wi 5 min; C&GS table; Max ebb current
00067	Tide stage	1612.0	High water slack; wi 5 min; C&GS table; Max flood current
00067	Tide stage	1620.0	High water slack; wi 5 min; measured
00067	Tide stage	1621.0	High water slack; wi 5 min; measured; Max ebb current
00067	Tide stage	1622.0	High water slack; wi 5 min; measured; Max flood current
00067	Tide stage	2000.0	Ebb current; wi 3 hrs
00067	Tide stage	2001.0	Ebb current; wi 3 hrs; Max ebb current
00067	Tide stage	2002.0	Ebb current; wi 3 hrs; Max flood current
00067	Tide stage	2010.0	Ebb current; wi 3 hrs; C&GS table
00067	Tide stage	2011.0	Ebb current; wi 3 hrs; C&GS table; Max ebb current
00067	Tide stage	2012.0	Ebb current; wi 3 hrs; C&GS table; Max flood current
00067	Tide stage	2020.0	Ebb current; wi 3 hrs; measured
00067	Tide stage	2021.0	Ebb current; wi 3 hrs; measured; Max ebb current
00067	Tide stage	2022.0	Ebb current; wi 3 hrs; measured; Max flood current
00067	Tide stage	2100.0	Ebb current; wi 2 hrs
00067	Tide stage	2101.0	Ebb current; wi 2 hrs; Max ebb current
00067	Tide stage	2102.0	Ebb current; wi 2 hrs; Max flood current
00067	Tide stage	2110.0	Ebb current; wi 2 hrs; C&GS table
00067	Tide stage	2111.0	Ebb current; wi 2 hrs; C&GS table; Max ebb current
00067	Tide stage	2112.0	Ebb current; wi 2 hrs; C&GS table; Max flood current
00067	Tide stage	2120.0	Ebb current; wi 2 hrs; measured
00067	Tide stage	2121.0	Ebb current; wi 2 hrs; measured; Max ebb current
00067	Tide stage	2122.0	Ebb current; wi 2 hrs; measured; Max flood current
00067	Tide stage	2200.0	Ebb current; wi 1 hr
00067	Tide stage	2201.0	Ebb current; wi 1 hr; Max ebb current
00067	Tide stage	2202.0	Ebb current; wi 1 hr; Max flood current
00067	Tide stage	2210.0	Ebb current; wi 1 hr; C&GS table
00067	Tide stage	2211.0	Ebb current; wi 1 hr; C&GS table; Max ebb current
00067	Tide stage	2212.0	Ebb current; wi 1 hr; C&GS table; Max flood current
00067	Tide stage	2220.0	Ebb current; wi 1 hr; measured
00067	Tide stage	2221.0	Ebb current; wi 1 hr; measured; Max ebb current
00067	Tide stage	2222.0	Ebb current; wi 1 hr; measured; Max flood current
00067	Tide stage	2300.0	Ebb current; wi 40 min
00067	Tide stage	2301.0	Ebb current; wi 40 min; Max ebb current
00067	Tide stage	2302.0	Ebb current; wi 40 min; Max flood current
00067	Tide stage	2310.0	Ebb current; wi 40 min; C&GS table
00067	Tide stage	2311.0	Ebb current; wi 40 min; C&GS table; Max ebb current
00067	Tide stage	2312.0	Ebb current; wi 40 min; C&GS table; Max flood current
00067	Tide stage	2320.0	Ebb current; wi 40 min; measured
00067	Tide stage	2321.0	Ebb current; wi 40 min; measured; Max ebb current
00067	Tide stage	2322.0	Ebb current; wi 40 min; measured; Max flood current
00067	Tide stage	2400.0	Ebb current; wi 20 min
00067	Tide stage	2401.0	Ebb current; wi 20 min; Max ebb current
00067	Tide stage	2402.0	Ebb current; wi 20 min; Max flood current
00067	Tide stage	2410.0	Ebb current; wi 20 min; C&GS table
00067	Tide stage	2411.0	Ebb current; wi 20 min; C&GS table; Max ebb current
00067	Tide stage	2412.0	Ebb current; wi 20 min; C&GS table; Max flood current
00067	Tide stage	2420.0	Ebb current; wi 20 min; measured
00067	Tide stage	2421.0	Ebb current; wi 20 min; measured; Max ebb current
00067	Tide stage	2422.0	Ebb current; wi 20 min; measured; Max flood current
00067	Tide stage	2500.0	Ebb current; wi 10 min
00067	Tide stage	2501.0	Ebb current; wi 10 min; Max ebb current
00067	Tide stage	2502.0	Ebb current; wi 10 min; Max flood current
00067	Tide stage	2510.0	Ebb current; wi 10 min; C&GS table
00067	Tide stage	2511.0	Ebb current; wi 10 min; C&GS table; Max ebb current
00067	Tide stage	2512.0	Ebb current; wi 10 min; C&GS table; Max flood current
00067	Tide stage	2520.0	Ebb current; wi 10 min; measured
00067	Tide stage	2521.0	Ebb current; wi 10 min; measured; Max ebb current
00067	Tide stage	2522.0	Ebb current; wi 10 min; measured; Max flood current
00067	Tide stage	2600.0	Ebb current; wi 5 min
00067	Tide stage	2601.0	Ebb current; wi 5 min; Max ebb current
00067	Tide stage	2602.0	Ebb current; wi 5 min; Max flood current
00067	Tide stage	2610.0	Ebb current; wi 5 min; C&GS table
00067	Tide stage	2611.0	Ebb current; wi 5 min; C&GS table; Max ebb current
00067	Tide stage	2612.0	Ebb current; wi 5 min; C&GS table; Max flood current
00067	Tide stage	2620.0	Ebb current; wi 5 min; measured
00067	Tide stage	2621.0	Ebb current; wi 5 min; measured; Max ebb current
00067	Tide stage	2622.0	Ebb current; wi 5 min; measured; Max flood current
00067	Tide stage	3000.0	Low water slack; wi 3 hrs
00067	Tide stage	3001.0	Low water slack; wi 3 hrs; Max ebb current
00067	Tide stage	3002.0	Low water slack; wi 3 hrs; Max flood current
00067	Tide stage	3010.0	Low water slack; wi 3 hrs; C&GS table
00067	Tide stage	3011.0	Low water slack; wi 3 hrs; C&GS table; Max ebb current
00067	Tide stage	3012.0	Low water slack; wi 3 hrs; C&GS table; Max flood current
00067	Tide stage	3020.0	Low water slack; wi 3 hrs; measured
00067	Tide stage	3021.0	Low water slack; wi 3 hrs; measured; Max ebb current
00067	Tide stage	3022.0	Low water slack; wi 3 hrs; measured; Max flood current
00067	Tide stage	3100.0	Low water slack; wi 2 hrs
00067	Tide stage	3101.0	Low water slack; wi 2 hrs; Max ebb current
00067	Tide stage	3102.0	Low water slack; wi 2 hrs; Max flood current
00067	Tide stage	3110.0	Low water slack; wi 2 hrs; C&GS table
00067	Tide stage	3111.0	Low water slack; wi 2 hrs; C&GS table; Max ebb current
00067	Tide stage	3112.0	Low water slack; wi 2 hrs; C&GS table; Max flood current
00067	Tide stage	3120.0	Low water slack; wi 2 hrs; measured
00067	Tide stage	3121.0	Low water slack; wi 2 hrs; measured; Max ebb current
00067	Tide stage	3122.0	Low water slack; wi 2 hrs; measured; Max flood current
00067	Tide stage	3200.0	Low water slack; wi 1 hr
00067	Tide stage	3201.0	Low water slack; wi 1 hr; Max ebb current
00067	Tide stage	3202.0	Low water slack; wi 1 hr; Max flood current
00067	Tide stage	3210.0	Low water slack; wi 1 hr; C&GS table
00067	Tide stage	3211.0	Low water slack; wi 1 hr; C&GS table; Max ebb current
00067	Tide stage	3212.0	Low water slack; wi 1 hr; C&GS table; Max flood current
00067	Tide stage	3220.0	Low water slack; wi 1 hr; measured
00067	Tide stage	3221.0	Low water slack; wi 1 hr; measured; Max ebb current
00067	Tide stage	3222.0	Low water slack; wi 1 hr; measured; Max flood current
00067	Tide stage	3300.0	Low water slack; wi 40 min
00067	Tide stage	3301.0	Low water slack; wi 40 min; Max ebb current
00067	Tide stage	3302.0	Low water slack; wi 40 min; Max flood current
00067	Tide stage	3310.0	Low water slack; wi 40 min; C&GS table
00067	Tide stage	3311.0	Low water slack; wi 40 min; C&GS table; Max ebb current
00067	Tide stage	3312.0	Low water slack; wi 40 min; C&GS table; Max flood current
00067	Tide stage	3320.0	Low water slack; wi 40 min; measured
00067	Tide stage	3321.0	Low water slack; wi 40 min; measured; Max ebb current
00067	Tide stage	3322.0	Low water slack; wi 40 min; measured; Max flood current
00067	Tide stage	3400.0	Low water slack; wi 20 min
00067	Tide stage	3401.0	Low water slack; wi 20 min; Max ebb current
00067	Tide stage	3402.0	Low water slack; wi 20 min; Max flood current
00067	Tide stage	3410.0	Low water slack; wi 20 min; C&GS table
00067	Tide stage	3411.0	Low water slack; wi 20 min; C&GS table; Max ebb current
00067	Tide stage	3412.0	Low water slack; wi 20 min; C&GS table; Max flood current
00067	Tide stage	3420.0	Low water slack; wi 20 min; measured
00067	Tide stage	3421.0	Low water slack; wi 20 min; measured; Max ebb current
00067	Tide stage	3422.0	Low water slack; wi 20 min; measured; Max flood current
00067	Tide stage	3500.0	Low water slack; wi 10 min
00067	Tide stage	3501.0	Low water slack; wi 10 min; Max ebb current
00067	Tide stage	3502.0	Low water slack; wi 10 min; Max flood current
00067	Tide stage	3510.0	Low water slack; wi 10 min; C&GS table
00067	Tide stage	3511.0	Low water slack; wi 10 min; C&GS table; Max ebb current
00067	Tide stage	3512.0	Low water slack; wi 10 min; C&GS table; Max flood current
00067	Tide stage	3520.0	Low water slack; wi 10 min; measured
00067	Tide stage	3521.0	Low water slack; wi 10 min; measured; Max ebb current
00067	Tide stage	3522.0	Low water slack; wi 10 min; measured; Max flood current
00067	Tide stage	3600.0	Low water slack; wi 5 min
00067	Tide stage	3601.0	Low water slack; wi 5 min; Max ebb current
00067	Tide stage	3602.0	Low water slack; wi 5 min; Max flood current
00067	Tide stage	3610.0	Low water slack; wi 5 min; C&GS table
00067	Tide stage	3611.0	Low water slack; wi 5 min; C&GS table; Max ebb current
00067	Tide stage	3612.0	Low water slack; wi 5 min; C&GS table; Max flood current
00067	Tide stage	3620.0	Low water slack; wi 5 min; measured
00067	Tide stage	3621.0	Low water slack; wi 5 min; measured; Max ebb current
00067	Tide stage	3622.0	Low water slack; wi 5 min; measured; Max flood current
00067	Tide stage	4000.0	Flood current; wi 3 hrs
00067	Tide stage	4001.0	Flood current; wi 3 hrs; Max ebb current
00067	Tide stage	4002.0	Flood current; wi 3 hrs; Max flood current
00067	Tide stage	4010.0	Flood current; wi 3 hrs; C&GS table
00067	Tide stage	4011.0	Flood current; wi 3 hrs; C&GS table; Max ebb current
00067	Tide stage	4012.0	Flood current; wi 3 hrs; C&GS table; Max flood current
00067	Tide stage	4020.0	Flood current; wi 3 hrs; measured
00067	Tide stage	4021.0	Flood current; wi 3 hrs; measured; Max ebb current
00067	Tide stage	4022.0	Flood current; wi 3 hrs; measured; Max flood current
00067	Tide stage	4100.0	Flood current; wi 2 hrs
00067	Tide stage	4101.0	Flood current; wi 2 hrs; Max ebb current
00067	Tide stage	4102.0	Flood current; wi 2 hrs; Max flood current
00067	Tide stage	4110.0	Flood current; wi 2 hrs; C&GS table
00067	Tide stage	4111.0	Flood current; wi 2 hrs; C&GS table; Max ebb current
00067	Tide stage	4112.0	Flood current; wi 2 hrs; C&GS table; Max flood current
00067	Tide stage	4120.0	Flood current; wi 2 hrs; measured
00067	Tide stage	4121.0	Flood current; wi 2 hrs; measured; Max ebb current
00067	Tide stage	4122.0	Flood current; wi 2 hrs; measured; Max flood current
00067	Tide stage	4200.0	Flood current; wi 1 hr
00067	Tide stage	4201.0	Flood current; wi 1 hr; Max ebb current
00067	Tide stage	4202.0	Flood current; wi 1 hr; Max flood current
00067	Tide stage	4210.0	Flood current; wi 1 hr; C&GS table
00067	Tide stage	4211.0	Flood current; wi 1 hr; C&GS table; Max ebb current
00067	Tide stage	4212.0	Flood current; wi 1 hr; C&GS table; Max flood current
00067	Tide stage	4220.0	Flood current; wi 1 hr; measured
00067	Tide stage	4221.0	Flood current; wi 1 hr; measured; Max ebb current
00067	Tide stage	4222.0	Flood current; wi 1 hr; measured; Max flood current
00067	Tide stage	4300.0	Flood current; wi 40 min
00067	Tide stage	4301.0	Flood current; wi 40 min; Max ebb current
00067	Tide stage	4302.0	Flood current; wi 40 min; Max flood current
00067	Tide stage	4310.0	Flood current; wi 40 min; C&GS table
00067	Tide stage	4311.0	Flood current; wi 40 min; C&GS table; Max ebb current
00067	Tide stage	4312.0	Flood current; wi 40 min; C&GS table; Max flood current
00067	Tide stage	4320.0	Flood current; wi 40 min; measured
00067	Tide stage	4321.0	Flood current; wi 40 min; measured; Max ebb current
00067	Tide stage	4322.0	Flood current; wi 40 min; measured; Max flood current
00067	Tide stage	4400.0	Flood current; wi 20 min
00067	Tide stage	4401.0	Flood current; wi 20 min; Max ebb current
00067	Tide stage	4402.0	Flood current; wi 20 min; Max flood current
00067	Tide stage	4410.0	Flood current; wi 20 min; C&GS table
00067	Tide stage	4411.0	Flood current; wi 20 min; C&GS table; Max ebb current
00067	Tide stage	4412.0	Flood current; wi 20 min; C&GS table; Max flood current
00067	Tide stage	4420.0	Flood current; wi 20 min; measured
00067	Tide stage	4421.0	Flood current; wi 20 min; measured; Max ebb current
00067	Tide stage	4422.0	Flood current; wi 20 min; measured; Max flood current
00067	Tide stage	4500.0	Flood current; wi 10 min
00067	Tide stage	4501.0	Flood current; wi 10 min; Max ebb current
00067	Tide stage	4502.0	Flood current; wi 10 min; Max flood current
00067	Tide stage	4510.0	Flood current; wi 10 min; C&GS table
